t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
83,5.0034178229999995,7.81087959,27.999752557,5.80252053,33.288876751000004,11.84898054,23.785017886,1.09622805,42.871360712000005,11.46146469
84,4.992503032,7.7498142,27.876146244,5.81976387,32.855705564,11.90791725,23.719702502,0.8651707200000001,42.834190606,10.731812459999999
85,4.897026381,7.681392570000001,27.676594626,5.85296118,32.442522552,12.002761079999999,23.619678484,0.68092227,42.811468837999996,10.224177390000001
86,4.783208433,7.61255463,27.425271515,5.90758587,31.970987611,12.09488262,23.517627802,0.56278359,42.770815998,9.89314488
87,4.71010158,7.56897708,27.138254986,5.9633533199999995,31.444258101,12.18056184,23.421332897,0.4965444,42.724485644,9.687363
88,4.659853013,7.527878519999999,26.839617469,6.01516125,30.887781758,12.24982935,23.324209612,0.46731975,42.674062068,9.568336859999999
89,4.619843296,7.49488851,26.544772078,6.05942547,30.354980918,12.31890093,23.188499617999998,0.4680954,42.583824036,9.52497231
90,4.568773974,7.44432465,26.267256237999998,6.106653,29.841600830999997,12.408860279999999,23.046474965,0.50113932,42.512862431,9.54531675
91,4.056237212,7.38133254,26.054793848000003,6.11727399,29.375482629,11.95392009,22.967720060999998,0.54038412,42.35987254,9.60596631
92,3.703122608,7.1784687300000005,26.072400949,6.178788089999999,28.844944584,11.941434450000001,22.466999365,0.54107607,41.989483956,9.785090369999999
93,3.875665195,6.58266807,25.95497784,6.15358614,28.509698526999998,12.230292930000001,20.943475992,0.62274255,41.925079362999995,9.884235089999999
94,3.996369128,6.5416809,26.186453991,6.29579964,27.811677234999998,12.608647379999999,19.886146339,0.6168813000000001,41.389736836,10.14212733
95,3.533341369,6.733197629999999,25.834878295,6.34006074,27.398198738999998,12.244507890000001,20.410375947000002,0.7924880999999999,41.133320286,10.34176083
96,3.8655948270000002,6.59561739,25.311170481,6.383079990000001,26.984445804,12.60923136,19.508125069000002,1.01832204,40.877095032,10.53368655
97,4.2206459370000005,6.4452345300000005,24.750799471,6.4405782899999995,26.713669792999998,12.93415143,18.564963808999998,1.28897511,40.796204152,10.72709484
98,4.576310646,6.41008146,24.180717932,6.51519141,26.416006568,13.18151571,18.201306453,1.57294461,40.826555007,10.9052322
99,4.8462238730000005,6.38710428,23.615864459,6.55284327,26.108876692,13.32283512,18.065052887999997,1.86894564,40.919887752,11.08057569
